,sub-3104_ses-Baseline,sub-3106_ses-Baseline,sub-3112_ses-Baseline,sub-3114_ses-Baseline,sub-3115_ses-Baseline,sub-3151_ses-Baseline,sub-3157_ses-Baseline,sub-3160_ses-Baseline,sub-3161_ses-Baseline,sub-3165_ses-Baseline,sub-3169_ses-Baseline,sub-3171_ses-Baseline,sub-3172_ses-Baseline,sub-3188_ses-Baseline,sub-3191_ses-Baseline,sub-3300_ses-Baseline,sub-3320_ses-Baseline,sub-3370_ses-Baseline,sub-3389_ses-Baseline,sub-3390_ses-Baseline,sub-3555_ses-Baseline,sub-3563_ses-Baseline,sub-3569_ses-Baseline,sub-3570_ses-Baseline,sub-3571_ses-Baseline,sub-3572_ses-Baseline,sub-3750_ses-Baseline,sub-3756_ses-Baseline,sub-3759_ses-Baseline,sub-3765_ses-Baseline,sub-3767_ses-Baseline,sub-3768_ses-Baseline,sub-3769_ses-Baseline,sub-3779_ses-Baseline,sub-3804_ses-Baseline,sub-3805_ses-Baseline,sub-3806_ses-Baseline,sub-3807_ses-Baseline,sub-3809_ses-Baseline,sub-3811_ses-Baseline,sub-3812_ses-Baseline,sub-3813_ses-Baseline,sub-3816_ses-Baseline,sub-3817_ses-Baseline,sub-3850_ses-Baseline,sub-3852_ses-Baseline,sub-3853_ses-Baseline,sub-3854_ses-Baseline,sub-3855_ses-Baseline,sub-3857_ses-Baseline,sub-4004_ses-Baseline,sub-4010_ses-Baseline,sub-4018_ses-Baseline,sub-4032_ses-Baseline,sub-4067_ses-Baseline,sub-4085_ses-Baseline
Left_Limbic,2165.0,759.0,970.0,1691.0,1570.0,770.996737,1060.0,1843.994614,1415.002362,718.9997,1208.0002880000002,1652.99665,830.000495,1136.996611,1080.0024460000002,1530.0,973.0,712.394714,1043.000249,922.0,576.0020599999999,1854.0,769.003667,734.999825,461.999064,1672.999601,1877.998545,921.9991210000001,1271.000606,882.003259,455.999674,1164.006383,2593.0,1004.9934710000001,981.0,992.0,358.0,1279.007166,570.999966,727.0028599999999,600.999678,1252.9994769999998,914.0,1541.0062460000001,556.002254,1610.993086,2354.9959289999997,1073.997695,535.998786,817.998391,972.0,1683.0,923.0,1135.0,662.001894,1571.0
Right_Limbic,963.0,382.0,845.0,1584.0,661.0,715.99697,434.0,2041.994036,946.0015789999999,576.999759,1275.000304,909.9981560000001,178.00010600000002,491.998534,1743.003948,675.0,620.0,386.238098,349.000083,790.0,695.0024860000001,1592.0,1691.008063,1197.999714,767.9984440000001,718.999829,429.999667,616.999412,393.00018700000004,539.001992,686.999509,339.00185899999997,541.0,259.998311,674.0,509.0,454.0,410.002297,329.99998,169.000665,148.99992,1019.999574,207.0,724.002934,516.0020910000001,877.9962320000001,394.999317,999.997854,661.998501,579.998859,1402.0,803.0,627.0,944.0,1187.003396,566.0
Left_Executive,4883.0,4853.0,5170.0,3298.0,5124.0,6435.972763000001,3858.0,6430.9812170000005,6943.011587000001,7095.997039,5950.001419,3748.9924020000003,7195.004289,5240.984381,5330.0120719999995,5473.0,4412.0,5973.815918,5178.001235,6092.0,8436.030169,5670.0,5458.026026,6312.998495000001,7364.985073999999,3574.999148,5681.995597,7857.9925060000005,5427.002588,4425.016353,6040.995679,6660.036521,5096.0,5137.966619,5525.0,6865.0,6063.0,6728.037695999999,6026.999640999999,6604.025979999999,4628.997517,6828.9971510000005,5895.0,4546.018425,7088.028728,5350.977036,4661.991942000001,5230.988775,5519.987497,4783.990589999999,5453.0,4386.0,5272.0,3499.0,7124.020382,4332.0
Right_Executive,5794.0,5015.0,5148.0,4739.0,6177.0,7149.969742,5732.0,5457.984059,7638.012747,7503.996869,5318.001268,5046.989772,8461.005043000001,5271.984288000001,4253.009633,6052.0,5796.0,6763.458251999999,4729.001127,6280.0,9815.035101000001,5945.0,4079.01945,7458.998222,7936.983915000001,4852.998843,7061.994528,7717.99264,5095.002429,4920.018182,6538.995323,6072.033297,5422.0,7246.9529170000005,5122.0,6644.0,5858.0,6102.034189,6419.999617,6125.024095000001,5281.997167,4842.997979,6585.0,6451.026147,7509.030435,7099.969529999999,5879.989836,5987.987150999999,4249.990374,5007.990149,5886.0,5393.0,5440.0,4179.0,6622.018946,5890.0
Left_Rostral_motor,447.0,1111.0,825.0,517.0,454.0,276.998828,1119.0,814.99762,133.000222,520.999783,603.0001440000001,1003.997965,987.0005880000001,383.998856,440.000997,564.0,2201.0,823.020935,1242.0002960000002,526.0,961.003437,818.0,780.003719,2110.999497,1571.996814,922.9997800000001,1513.998827,236.99977400000003,480.000229,579.00214,900.999356,920.0050449999999,646.0,962.993743,361.0,207.0,216.0,491.002751,876.999948,862.003391,669.999641,1236.999484,1506.0,827.003352,462.00187300000005,1907.9918120000002,1119.998064,1266.9972810000002,1693.9961629999998,448.999117,1324.0,717.0,2080.0,2515.0,516.001476,841.0
Right_Rostral_motor,570.0,494.0,827.0,531.0,430.0,33.999856,337.0,2022.9940920000001,18.00003,217.99990899999997,1368.000326,1085.997799,467.00027800000004,1023.9969480000001,115.00026000000001,1011.0,168.0,872.612,1305.000311,580.0,136.00048600000002,1423.0,993.004735,1025.999755,291.999408,974.999768,1267.999017,182.999825,130.000062,128.000473,113.999918,1078.005911,1612.0,293.99809,107.0,217.0,235.0,362.002028,860.999949,1791.0070460000002,879.9995279999999,1340.99944,934.0,82.000332,42.000170000000004,1411.99394,1509.99739,1990.995728,2444.994462,747.998529,922.0,341.0,2413.0,2157.0,267.000764,745.0
Left_Caudal_motor,1526.0,1081.0,823.0,1504.0,1370.0,702.997025,1036.0,1309.996174,1092.0018220000002,652.999728,767.000183,1337.997288,732.000436,538.9983940000001,723.001638,875.0,464.0,2192.497253,831.0001980000001,999.0,1279.004574,1532.0,692.0033,1242.9997039999998,621.998739,904.999784,1672.9987039999999,960.999084,608.0002900000001,653.0024129999999,1006.9992800000001,1098.0060210000001,587.0,2141.986084,969.0,500.0,797.0,620.003474,1075.999936,827.003253,991.999468,695.9997099999999,894.0,640.002594,720.002918,1499.993563,535.9990740000001,1258.997298,1039.997644,590.998838,816.0,720.0,1009.0,1026.0,1560.004463,1139.0
Right_Caudal_motor,1346.0,1170.0,1061.0,721.0,668.0,193.999179,180.0,873.9974470000001,1009.001684,341.99985699999996,404.000096,867.998241,456.000272,364.998912,602.001364,1065.0,106.0,745.773315,1332.0003179999999,1225.0,455.0016269999999,729.0,1678.0080010000001,485.999884,274.99944300000004,1513.9996390000001,865.9993289999999,858.999181,662.000316,476.001759,1346.9990369999998,1531.0083949999998,320.0,956.993782,166.0,789.0,589.0,305.001709,317.999981,590.002321,887.9995240000001,912.9996189999999,1420.0,554.002245,620.002513,417.998206,523.999094,569.9987769999999,493.998881,434.99914400000006,751.0,459.0,597.0,395.0,437.00125,538.0
Left_Parietal,717.0,1349.0,735.0,1162.0,1603.0,1125.9952349999999,681.0,1057.99691,1298.002166,426.999822,1293.000308,1526.996905,1003.0005980000001,507.998486,501.001135,620.0,713.0,1592.636108,827.000197,900.0,961.003437,864.0,1590.007582,1445.999655,1005.9979609999999,1442.999656,1247.999033,937.9991050000001,983.000469,685.002531,989.999292,753.004129,354.0,1926.98748,749.0,1114.0,1095.0,955.005351,745.999956,634.0024940000001,1385.999256,466.999805,648.0,1426.0057800000002,722.002926,545.997657,1499.997407,1011.9978279999999,607.9986230000001,997.998037,508.0,1313.0,803.0,754.0,1210.003462,362.0
Right_Parietal,1076.0,1420.0,444.0,1250.0,1287.0,752.996813,887.0,1516.995569,1007.0016810000001,808.9996620000001,695.000166,1352.997258,1561.0009300000002,353.998945,1185.002684,842.0,1543.0,2313.6138920000003,529.000126,755.0,908.0032470000001,757.0,987.004706,1476.999648,1769.9964129999998,713.99983,1540.998806,1377.998686,1505.000718,989.0036550000001,552.999604,1109.006081,1440.0,1677.989098,1282.0,596.0,1503.0,1514.008483,1232.9999269999998,661.0026,1232.999339,1281.999465,917.0,1392.005642,1074.004353,1237.9946869999999,852.998526,452.999028,1026.997674,697.9986269999999,607.0,1606.0,1009.0,1365.0,1633.004672,481.0
Left_Occipital,0.0,85.0,259.0,115.0,29.0,99.999577,139.0,195.999428,88.000147,155.99993500000002,252.00006000000002,171.999651,274.000163,6.999979,77.000174,130.0,178.0,266.075134,0.0,23.0,217.00077599999997,230.0,262.00124900000003,107.999974,476.999033,388.999907,224.99982599999998,0.0,29.000014,111.00041,208.999851,307.001683,242.0,142.999071,11.0,193.0,155.0,305.001709,43.999997,104.00040899999999,152.99991799999998,189.999921,131.0,13.000053,334.001354,108.999532,94.999836,336.999277,146.999667,187.99963,190.0,326.0,196.0,139.0,230.00065800000002,128.0
Right_Occipital,60.0,32.0,123.0,123.0,27.0,70.9997,153.0,194.99943000000002,152.000254,130.999945,4.000001,43.999911,117.00007,60.999818000000005,206.000467,131.0,336.0,292.778015,28.000007,152.0,109.00039,298.0,233.00111099999998,101.999976,491.999003,62.999984999999995,142.999889,13.999986999999999,15.000007,243.000898,133.99990400000002,141.000773,233.0,135.999116,33.0,233.0,47.0,291.00163,119.99999299999999,85.000334,165.999911,157.999934,73.0,172.000697,175.000709,247.998936,111.999806,402.999135,181.999588,162.99967900000001,175.0,320.0,169.0,147.0,179.00051200000001,82.0
Left_Temporal,352.0,558.0,530.0,838.0,763.0,173.99926399999998,62.0,324.99905099999995,297.000496,270.999887,98.000023,242.99950800000002,389.000232,926.9972369999999,143.000324,1030.0,674.0,151.63421599999998,457.000109,355.0,508.001817,81.0,238.001135,589.999859,415.99915699999997,55.999987,198.999846,989.999056,270.000129,689.002546,25.999981,356.001952,95.0,753.995101,443.0,214.0,368.0,421.002359,343.999979,712.002801,354.99981,208.999913,358.0,662.002683,178.000721,413.998223,384.99933500000003,415.999107,315.999284,56.999888,254.0,193.0,600.0,538.0,152.000435,438.0
Right_Temporal,573.0,495.0,897.0,322.0,848.0,437.998146,213.0,472.998619,70.000117,192.999919,301.00007200000005,360.99926800000003,144.000086,905.9973,52.000118,211.0,1228.0,381.469727,562.000134,102.0,360.001287,172.0,233.00111099999998,752.99982,288.999414,185.999956,192.99985,799.999237,982.000468,550.002033,38.999972,395.002166,137.0,1283.991658,1083.0,317.0,249.0,1346.007541,71.999996,1037.0040789999998,398.999786,605.999747,456.0,621.002517,48.000195,507.99782000000005,736.998726,277.999403,225.99948799999999,35.999928999999995,333.0,70.0,441.0,586.0,300.000858,275.0
age_at_baseline,72.0658,70.2247,62.7178,63.9452,61.3096,57.5808,64.1589,79.8055,44.8027,58.9507,57.0438,61.3918,70.0356,70.7288,66.3342,52.126000000000005,56.0356,40.2438,71.5808,66.0795,39.7726,60.0959,40.2877,72.3781,45.8247,57.7479,53.0164,65.4274,54.4575,68.5452,52.5726,59.5945,70.6603,56.0712,60.1342,56.2247,59.2247,73.2,53.2986,67.3863,64.4219,65.4411,64.53699999999999,73.6,50.2959,76.9014,46.7589,30.6356,48.8466,40.6082,65.0521,42.2685,63.9863,68.0712,61.6685,66.7041
CNO,1.0,1.0,1.0,1.0,1.0,11.0,2.0,2.0,2.0,11.0,11.0,2.0,2.0,11.0,2.0,15.0,6.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,15.0,17.0,22.0
